Company Name,Company Link,Company Description
Comfexy,http://www.lindabra.com,"Uncomfortable, ugly, no support - that is unfortunately the reality of many bras. After many conversations, surveys and attending numerous trade fairs, Linda's start-up idea was born. The vision: To develop a bra that is sexy, comfortable and attractive.

    http://www.lindabra.com"
CommandPost,http://getcommandpost.com/,"CMP.LY — the standard for making disclosures in social and digital media — helps brands and agencies fulfill regulatory obligations while improving the effectiveness of their marketing and corporate communications programs.

    http://getcommandpost.com"
CommonCents,http://www.commoncentsloan.com/,"CommonCents is a web and mobile platform that makes student loan repayment easy, transparent, and centralized. Our mission is twofold: educating users about their loans, and maximizing their savings potential through a variety of easy repayment options.

    http://www.commoncentsloan.com"
Competitoor,https://competitoor.com/,"Competitoor is an advanced, data platform that provides global information on pricing and competitive insight far beyond any solution in the market. Competitoor is the most innovative online solution for price tracking and retail competitive intelligence. If a retailer applies to your item a price which is far beyond the average or the price changes frequengly, Competitoor is going to inform you immediately.

    competitoor.com"
Complero,https://www.complero.de/,"Complero looks at your contacts and tells you exactly what contacts you should check - assuming you have not noticed it yourself.

    www.complero.de"
Composyt Light Labs,http://www.composyt.com,"Composyt Light Labs is developing wearable display technology for see-through augmented reality in unobtrusive conventional eyewear.

    http://www.composyt.com"
Comptek Solutions,https://www.comptek-solutions.com/,"Compound semiconductor quantum surface engineering. Our patented Kontrox(tm) process enables a reduction of the surface defect density to unprecedented levels, thus resulting in a boost of the efficiency and an increase in manufacturing yield of III-V semiconductor-based devices, such as GaAs and InP RF and optoelectronic devices among others.

    www.comptek-solutions.com"
Computomics,http://www.computomics.com,"Computomics is a team of world-leading experts in plant research and bioinformatics.

    http://www.computomics.com"
Concept Electronics,http://www.ceibr.com/,"Concept Electronics is a Romanian company

    http://www.ceibr.com"
Content Square,https://www.contentsquare.com/,"Content Square has developed a range of connected solutions for testing and optimization that improve user experience, optimize a course's ergonomy and increase conversion rate.

    www.contentsquare.com"
Contilla,http://contilla.de,"Contilla company is a marketing consultant company that provides training to businesses.

    http://contilla.de"
continuousphp,https://continuousphp.com/,"Continuous PHP is a platform as a service to build, test and deliver PHP applications. Customers like the European Commission, mypetcredential.com, bookmylimo.com, PowerLab and many others have chosen them to decrease their time-to-market of their web applications development, to lower their maintenance costs, save money and increase their developers productivity with their Lean Platform as a Service (PaaS) solution which is based on a fast and scalable cloud infrastructure.

    continuousphp.com"
CookRadar,http://cookradar.com,"Cookradar is a social marketplace where users can buy and sell homemade food to their peers. Users will be able to invite also people to their places, make a food request and rate their peers. Cookradar retains a fee on the transactions.

    http://cookradar.com"
Coteries,http://www.coteries.com/,"Coteries is specialized on direct-to-fans interaction for artists and musicians. It creates value for both the artist and the fan by delivering mobile applications

    http://www.coteries.com"
Cozyo,http://%20www.cozyo.io,"Cozyo is e-commerce recommendation engine for interior design which helps create infinite looks & designs for homes. 
Utilizing computer vision and proprietary placement algorithms to suggest possible décor items, the AI-powered assistant learns from customers preferences and provides the latest trends and enables customers to purchase goods directly on their platform.

    http://%20www.cozyo.io"
Crealytics,http://crealytics.com,"Crealytics supports leading international e-commerce companies to drive performance in product advertising and paid search.

    http://crealytics.com"
CREZEO,http://crezeo.com/,"We offer everything needed to build you the ideal community platform — with hand-selected features and a gorgeous design that will distinguish your brand as one of a kind.Still, our technical product is merely one slice of the offer.We understand that good technology is not the only aspect of building an online community, and that having a flawless but empty platform isn’t going to do you any good. That’s why we’ve put together a team of diverse specialists, all of whom have their own unique perspective of what goes into making an online community successful.We include all this in our service offer in order to be a true one-stop solution for everything needed to build a real, thriving community behind your brand.That’s just who we areWe make everything happen for online communities: from strategy and management to platform and people. Our job’s not done until there’s a dedicated community behind your brand.

    http://crezeo.com"
Crowd Realty,http://crowd-realty.com/global/,http://crowd-realty.com/global
CurvEnergy,https://curv.energy/,"Open up access to energy market for everyone that is connected with it. Allows customers to make profits based on how they use, reuse, and store renewable energy.

    curv.energy"
Cutitronics,http://www.cutitronics.com,"Through acquisition and integration, the $70B skincare market is now dominated by a few global multi-brand corporate organizations. We are now in dialogue with all of these market leaders. We are under NDA with multiple brands and are in partnership discussions progressing through the pre-market development stages. The three pre-market development stages are to first validate the technology with the preferred skincare product, secondly, commission a full development and integration program and thirdly, to scale to mass manufacture for launch.

    http://www.cutitronics.com"
Cyntegrity,http://www.cyntegrity.com,"Cyntegrity (origin: clinical + integrity), an innovative company inspired by efficiency, provides a specialized software tool for the risk-based monitoring (RBM).

    http://www.cyntegrity.com"
D Shape,http://d-shape.com/,http://d-shape.com
Daalder,http://www.daalder.co/consumers/home/,"Imagine never having to rummage for cash again at awkward moments, never queuing in line again for the ATM and never having your card rejected. Imagine being able to pay quickly and easily anywhere. Surely something everyone would appreciate? Enter the Daalder App — the new way to pay with your smartphone. The Daalder App is an e-wallet — a personal mobile wallet that you can top up with Daalders, the digital Euro. Daalder is independent from telecom providers, Apple or Samsung, banks and credit card companies! Download the Daalder App and switch to quick, easy, secure, cashless and cardless payments!

    http://www.daalder.co/consumers/home"
Daily Dental Care,https://dailydentalcares.com/site/,"Daily Dental Care is a life sciences company that leverages expertise in microbiology to create consumable oral care products that promote oral and overall health. Using proprietary SelectiveMicrobial Metabolism Regulation Technology (SMMRT) to manage microorganisms and their activity in a biofilm, we are able to address the root cause of many dental diseases and promote strong teeth, healthy gums and fresh breath.

    dailydentalcares.com/site"
Dapp,https://dapp.mx/,"Dapp is a payment wallet that tackles the strong problem that exists with card information theft and unrecognized charges.

    dapp.mx"
Dash,http://pswin.com,http://pswin.com
DataCulture,http://dataculture.in,"DataCulture is building world's first predictive decision engine for logistics and supply chain SaaS. With this technology, companies can now automate analytically critical tasks. DataCulture's proprietary machine learning allows for pattern recognition with decision end points that make the software driven supply chain ecosystem a lot more efficient. ""

    http://dataculture.in"
Datapare,http://www.datapare.com,"Datapare is an analytical tool that crawls e-commerce websites in order to give companies a competitive advantage. For example, we can give price comparison reports for an online retailer or provide daily change reports for competitor websites. Our clients can track their competitors closely to remain one step ahead of their competitors.

    http://www.datapare.com"
Dazzl,https://www.dazzl.tv,"Dazzl is a Collaborative Live Streaming Platform with a Cloud-based video production platform. Dazzl.tv enables live video acquisition of both, user-generated and premium content contributed from smartphones, mobile pro cameras, encoders, Moderate & Monitor incoming live feeds, communicate with contributors (Intercom), route and then streams to broadcast, social or OTT. Dazzl Producer, allows users to acquire, produce and distribute video content on the go from anyone, anywhere, designed to be an editing, compositing and master control tool for live broadcasts - a television van in your mobile browser! Target users: Sports Organisations, Media, Broadcasters

    www.dazzl.tv"
DeadSocial,http://deadsocial.org/,"DeadSocial is the social media tool that enables people to send out scheduled messages to their Facebook and Twitter accounts once they have died. In doing so it helps to ensure that their end of life wishes are met and for them to say “goodbye” to their wider friendship communities in their own time. DeadSocial is based in London and were a final four startup in The Next Web & Microsoft’s Startup Rally Competition.

    http://deadsocial.org"
Deal4Meals,http://www.deals4meals.com/,http://www.deals4meals.com
Decide Clinical Software,http://www.glucotab.at/en,"Up to 30% of inpatients have diabetes type 2. The treatment is complex, risky and complicated. Decide Clinical Software’s solution is its product GlucoTab. GlucoTab is a software that supports and optimizes the treatment process and calculates the patient-specific insulin dose. As a result, the product significantly improve treatment outcomes,  as demonstrated in clinical trials and already have regular customers in Europe.

    http://www.glucotab.at/en"
Decipher Finance,https://www.decipherfinance.com/,"Decipher creates wealth using a patent pending core technology that builds a bespoke portfolio for your individual situation.  Stuck in an old 401k? Retirement funds in a single stock as part of an employer plan? Separate finances from your spouse?  We do all of that.

    www.decipherfinance.com"
Declaree,https://www.declaree.com/,"Declaree is a web-based Expense Management system that uses a mobile app to digitalise expenses on the go. The mobile app is used by employees to digitalise receipts instead of filling out monthly expense forms in Excel or on paper. The advanced software offers powerful functionality providing total control over employee expenses with one single and easy to use application. Multi-Currency and Multi-Language setup, Automated VAT Calculation, Budgeting rules, Off-line Storage, Mileage Tracking, Fraud Detection and direct connections with a multitude of accounting and EPR systems are some of the key features integrated into the Declaree digital Expense Management package.

    www.declaree.com"
delvv.io,http://delvv.io/,"The world's largest brands use the delvv.io platform to get unbiased, actionable (and quick) feedback from 30 of the most relevant creative professionals. Whether it's testing your concepts for a campaign, looking for areas of improvement on your website or mobile app, or launching a campaign in other markets, delvv.io has thousands of professionals on-demand waiting to help you create impactful brands and creative campaigns.

    http://delvv.io"
DeNexus,http://www.denexus.io,"DeNexus models cyber risk for industrial operators and insurance underwriters. Our SaaS platform sources internal network data from operators' facilities and quantifies each client's exposure to cyber loss events. For CISOs, our models enable cost-benefit and ROI analysis on their cyber stack, and inform optimization decisions between risk transfer vs mitigation. For underwriters, our models differentiate winners from losers based on empirical data and machine learning. For cyber insurance to keep growing at 30% CAGR, robust cyber risk modeling is the floodgate that will unlock new supply and demand surge.

    http://www.denexus.io"
Design-Apart,http://design-apart.com,"Design-Apart delivers bespoke Italian design around the world. Its artisan team transforms urban apartments into living showrooms furnished by Italy’s most talented designers and manufacturers who integrate advanced technologies with ancient traditions, producing furniture, fixtures, and objects of uncommon beauty and utility.

    http://design-apart.com"
Dezignable,https://shop.dezignable.com/,"Growing 300% year over year, Dezignable offers a technology-enabled service called Swank that provides end-to-end design, furniture procurement and installation services to residential property management clients. Through our prop tech platform we are able to offer complimentary design services for BtoB clients allowing 100% of budget to go towards furniture procurement. At present, we have a sales team in the Pacific Northwest (Seattle/ Portland) and southern CA. We plan to expand our tech platform to a BtoBtoC resident design platform in 2018.

    shop.dezignable.com"
Digifeye,,Digifeye is a discovery and sales platform which turns digital imagery into shoppable content.
Digital Dream Labs,http://www.digitaldreamlabs.com/,"Digital Dream Labs, located in Pittsburgh, PA is a post-revenue company that creates products to help children learn the maths and sciences at earlier ages. Puzzlets, our flagship product, is a hands-on introduction to programming which combines the appeal of classic videogames with the thinking of chess. Watch video here: www.digitaldreamlabs.com.

    http://www.digitaldreamlabs.com"
Digital Privacy,https://twitter.com/mypionumber,"Our service enables smartphone users to have an additional mobile phone number on their phone, without the need for a second SIM card or a second phone. Our pio-phone numbers make dual-SIM functionality obsolete. We hold an MVNO license in Austria and maintain headquarter offices in Vienna and a development center in Bratislava. Our platform has been developed by i-new, a leading provider of MVNO-services across the globe. We are well funded and plan a fast expansion to other markets. The pio-service has been launched in Austria in May and has been well received by customers and the media.

    twitter.com/mypionumber"
Digiware,http://www.digiware.net,"Digiware is the expert provider in the generation of comprehensive strategies on information security in Latin America with over 18 years of experience protecting organizations against the security challenges involved risks of technological growth.
 

    http://www.digiware.net"
DirectShifts,http://www.directshifts.com/,"DirectShifts is an online marketplace that connects clinicians directly to employers for short term staffing needs (locum tenens) bypassing the need for external recruiters. Using technology, they are making healthcare recruiting much more 1) convenient, 2) transparent and 3) cost-effective for both employers and clinicians. MISSION At DirectShifts, they deeply care about empowering clinicians and hospitals to deliver the best care to their patients. Through DirectShifts' platform, they are eliminating some of the inefficiencies in the healthcare system that prevent a clinician on focusing on what clinicians do best: seeing patients.

    http://www.directshifts.com"
DirectShifts,https://www.directshifts.com/,"DirectShifts is an online marketplace that connects clinicians (physicians and advanced practitioners) directly to employers for clinical work. Hospitals currently hire these clinicians through external recruiters who add cost and complexity to both sides of the hiring process. The DirectShifts online platform removes wasteful third parties and offers a convenient, transparent and more economical path to both clinicians and care delivery organizations. All of the paperwork is handled by DirectShifts, so there is no need for the care delivery organization to manage licensing, hospital privileges, or insurance. DirectShifts can even act as an extension of an organization's internal recruiting - ""blendsourcing"" rather than outsourcing this essential work in a convenient, cost-efficient manner.

    www.directshifts.com"
Disprz,https://disprz.com,"Disprz equips the frontline workforce with the right skills to make them job-ready and enhance productivity to create tangible business results.
The key hallmarks that make Disprz’s mobile learning platform unique are:
- Just-in-time learning and manager support for effective employee on-boarding and engagement
- Instant announcements, news and updates to ensure real-time communication
- Interactive bite-sized content authoring and delivery for continuous training and engagement

    disprz.com"
DoctorFun,http://doctorfun.co/,"Doctorfun connects parents with their kids through gaming. It's on a mission to design games that parents engage emotionally, connect with their kids, and bring families closer together. Doctorfun is the next-generation of games to save & share the precious moments of your little ones.

    http://doctorfun.co"
Domo Animato,http://domoanimato.com/,http://domoanimato.com
DreamQuark,https://www.dreamquark.com,"DreamQuark develops a software platform - called Brain - which democratizes the use of Artificial Intelligence. Based on an advanced proprietary Deep Learning technology, Brain quickly delivers unmatched and interpretable results to Financial Services. The solution covers all their main activities with dedicated applications such as segmentation, targeting, underwriting, credit scoring, asset management, compliance, anti-money laundering, fraud, dunning, satisfaction, and customer retention.
In 2017, DreamQuark has won the Fintech of the Year price by Finance Innovation as well as the Best Cognitive Platform award by Bank & Innovation. The multi-award winning company has been given 5 out of 5 stars by the rating agency Early Metric and counts among its clients major banks and insurance companies such as BNP Paribas and AG2R la Mondiale.

    www.dreamquark.com"
Dresslife,https://www.dresslife.com/,"Dresslife makes fashion shopping easy like having your own personal shopper. Dresslife has built a platform that uses AI to find clothing based on your body, personality and trends that you love.

    www.dresslife.com"
DTA,http://dtalatam.com,"DTA has created the most versatile tool for the agricultural finance market. Rural payment is a financing tool that allows users to manage loans simply and quickly. Our unwavering goal is to drive growth by financing agricultural value chains throughout the Latin American region through an efficient mechanism.

    http://dtalatam.com"
Dubb,http://www.getyuppie.com/,"A turbo simple and secure way to reach social and professional contacts. Tag contacts, search tags and expand your network through your friends. Dubb helps you find the Photographer, Event Planner, or IT Consultant in your network. Dubb aggregates your friend's address books and contacts into one easily searchable and discoverable network.

    http://www.getyuppie.com"
DuJourApp,http://dujour.it/,"Dujour is a platform for people who love fashion. Using its app you can easily photograph, edit and tag your daily looks and share them with others. You can also see what friends and trendsetters have been wearing, follow brands and people whose style you like and post seamlessly to other networks.

    http://dujour.it"
dynacrowd,http://www.dynacrowd.com/en,http://www.dynacrowd.com/en
e-jobin,http://www.e-jobin.com,"Although 9 out of 10 CEOs name hiring talent as the single most critical decision, most companies are losing big on hiring wrong candidates. e-jobin has been built so that these decisions are based on data and to bring more clarity and effectivity into the hiring process.
e-jobin is a psychodiagnostic tool, which enables employees to run effective talent selection assessments in the online, easily accessible environment.
It moves the company hiring practices to the next level, showing job applicants that your company already incorporated modern tools across the board and open up the way toward employee motivation and engagement.

    http://www.e-jobin.com"
E-Patch,https://e-patch.eu/,"E-Patch is the world's first system that provides athletes with an ultra-precise measurement of their water losses and caloric expenses. Incorporating the science of health-related projects focused on dehydration, E-patch consists of a patch that can measure the volume of sweat you lose when practicing sport and the pH of the sweat, and an app to read and analyze the patch post-effort.

    e-patch.eu"
E.Sensory,http://www.e-sensory.com/,"E.Sensory connects digital contents and wearable devices to enhance the emotions felt while enjoying ebooks, video, music... With our IoT platform, content publishers will be able to imagine new personalized and immersive reading experiences and manufacturers could add an emotional value to their devices.

    http://www.e-sensory.com"
EAGLYS,https://eaglys.co.jp/,"Eaglys mission is to develop secure computing platforms and enable our customers to secure not only data at-rest or in-transit but in-use as well. Eaglys creates products for both database applications and AI models to allow seamless integration of both into the secure computing ecosystem.

    eaglys.co.jp"
Easychange,https://www.easychange.eu/,"Easychange offers payment transfers in foreign currencies to the entire world (except for countries excluded by valid Czech and EU legislation). They guarantee very favorable conditions specifically for payment within the Eurozone, payment to Asia and the USA. Conversion can be also made between your own different currency accounts with Czech banks. Their services are available to corporations, private individuals or associations.

    www.easychange.eu"
EatSleepRIDE Mobile,https://eatsleepride.com/,"EatSleepRIDE Motorcycle GPS is the most advanced and comprehensive app for motorcycle riders. ESR is a social telemetric app that helps motorcycle riders explore & share the best roads, track unlimited rides, find riders nearby and share their riding experiences in a community platform. The ESR app provides safety too. Using CRASHLIGHT® it can automatically detect a crash and notify set contacts of the rider’s location. Since the app launched in 2013 ESR has been rated top motorcycle app and continues to help riders log 10s of millions of miles in 138 countries. The EatSleepRIDE app (ESR app) is available free for both iOS and Android and works in conjunction with the EatSleepRIDE website. Check it out now app.EatSleepRIDE.com.

    eatsleepride.com"
eBooks in Motion,http://www.ebooksinmotion.com,"We extend the reach of web-based training and other forms of online education. Our automated SaaS production technology is used to apply online content (slides, graphs, video, audio, animation and more…) to be consumed on smartphones and tablets – offline…

    http://www.ebooksinmotion.com"
Ecratum,http://www.ecratum.com,http://www.ecratum.com
Edicos,http://www.edicos.de/de,"Do you need to replace an existing business application or develop a new application? Edicos offers a highly innovative development system for creating business solutions with customer or industry-specific characteristics - the Software Power Generator. Companies like Volkswagen and Commerzbank, as well as many upper midmarket enterprises, have already proven the value of the Software Power Generator. Small Java applications up to full fledged java-based Enterprise Resource Planning Systems have been created and deployed. Customers rely on Edicos and trust their 15+ years of experience in automated software development in Java.

    http://www.edicos.de/de"
Educabilia,http://educabilia.com/,"Educabilia is marketplace for lifelong learning focused in LatAm, for both online and offline courses.

    http://educabilia.com"
EduKit,https://www.edukit.org.uk,"EduKit helps schools by finding high-quality local programmes that address the individual personal development needs of students. As a result, students improve their grades and behaviour and have a clearer idea of what they intend to do after school. We then track and analyse the results to help with external reporting and school self-assessments.

    www.edukit.org.uk"
eHorses,http://www.ehorses.de,"ehorses is Europe's largest and most successful horse selling platform. Within 19 years they emerged from the idea of the first specialized horse platform on the internet in Germany to the market leader of a whole continent. Over 13,000 horses all over the world are offered and distributed on our platform. The providers range from private sellers to international top stars. With 1.6 million visits monthly, every 20 minutes one horse is sold via ehorses and 250 new ads are put up daily; It is one of the biggest horse websites worldwide.
Their passionate team of 16 local employees manages to develop the website consistently. Their next big project is to expand to different countries. Moreover, they started in December 2017 edogs - ehorses for dogs.
 

    http://www.ehorses.de"
Ekkono,http://www.ekkono.ai,"Ekkono does machine learning for IoT, making connected things smart. The small footprint of Ekkono&rsquo;s solution enables advanced machine learning to run on the devices, a.k.a. edge computing. This reduces network load, makes things autonomously smart and less dependent on connectivity, personalizes actions, enables predictive maintenance and instant self-healing, and makes products more intuitive to use.

    http://www.ekkono.ai"
eLama,https://elama.global/,"eLama is one of the largest PPC advertising automation services. Our mission is to help small businesses and marketing agencies across the world to grow through digital marketing automation. We create solutions to help you boost your advertising performance and believe that PPC advertising can become more convenient, efficient and accessible. eLama tools automate routine digital advertising tasks, saves time and reduce costs. eLama is a certified Google Ads SMB partner. Our specialists provide top of the line services and support. More than 27,000 active advertisers successfully work with the eLama platform. eLama has been operating since 2009. Today, we have a team of more than 300 professional developers, client success managers, and performance marketing specialists.

    elama.global"
Elastic.io,http://elastic.io,"Elastic.io is a hybrid integration platform for its users’ SaaS, IoT, and mobile projects

    http://elastic.io"
Elimi,http://elimiapp.com/,http://elimiapp.com
ELSE Corp,http://www.else-corp.com,http://www.else-corp.com
Embed Store,http://embedstore.com/,http://embedstore.com
embotech,,
Emerging Rule,https://emergingrule.com,"Emerging Rule, designs, develops, and markets EdTech solutions and computer software. The Company executed LevelShip's™ (Pat. Pend. Machine Learning LMS) R&D late 2016-2018 & plans to sell a range of related software, services, solutions & applications in a global trillion-dollar sector. Up to date, the company target segments include North America & Latin America but achieved some buzz in China through Innostars & Silicon Valley Innovation & Entrepreneurship Forum recognition. 

    emergingrule.com"
Empea,http://empea.de,"EMPEA, an association funding private capital, delivers investment returns and promotes growth of companies in emerging markets.

    http://empea.de"
Emspire,http://www.empoind.com,"Empoind offers an innovative way to display results of collaborative work.
You save time and money by eliminating redundant work and travel expenses.
Visualize your thoughts and ideas remotely and in real-time with your colleagues and business partners.
The results can be personalised for greater impact, and easily presented by the one-click film function.

    http://www.empoind.com"
EnCap Security,http://encapsecurity.com,"Encap Security provides multi-factor, smarter authentication and digital signing for the enterprise and banking sectors.

    http://encapsecurity.com"
Enehano Solutions,https://www.enehano.com/,"Enehano Solutions love to create synergies between IT & business with the focus on digital transformation, incl. marketing, campaign management, CRM and CPQ. They have 15+ years experience in enterprise projects' delivery and always focus to our clients employ selected solutions to its max. Together with the clients they grow and expand to the US market.

    www.enehano.com"
Enotch Academics,http://www.enotchacademics.com,"We are focused on helping education institutions measure teaching faculty performance.​ Today institutions address this need by leveraging paper driven multi-step forms which are time consuming, costly and time sensitive. Our platform enables an institution to design their evaluation processes online and incorporate document collection, review and feedback for all stakeholders. We believe that we can systematically improve the quality of student learning by first enabling an institution to assess the effectiveness of their teaching faculty efficiently.

    http://www.enotchacademics.com"
Enteruptors,https://enteruptors.com/,"Enteruptors are an exciting RegTech digitally transforming the back-office and taking banks into the digital era. Today’s management are challenged by growing regulation, a lack of insight and difficulties converting strategy into results. Enterupt is a cloud based solution using cognitive computing to solve these challenges and build competitive advantage. Enterupt is converging risk, compliance, finance and strategy into one integrated system that drives productivity and builds data for predictive analytics. Through such integration, enteruptors are able to facilitate a range of compliance requirements that are no longer feasible with legacy processes. We are the future of compliance, finance and planning.

    enteruptors.com"
Entry Point VR,http://entrypointvr.com/,http://entrypointvr.com
Eonscope,http://www.eonscope.com,"EonScope investigates, analyzes, and classifies DNS traffic. Depending on the analysis of DNS traffic, it detects ""harmful network traffic"" such as Malware - C&C Botnet - Ransomware - Phishing etc. and blocks them. Thus, it provides effective protection. EonScope has an extensive domain categorization database accompanied by its advanced, successful classification and categorization mechanism on which artificial intelligence techniques are used.

    http://www.eonscope.com"
EProfound,https://www.e-profound.com/,"E-profound is an online platform where decision makers find first-class German lawyers and finance experts for efficient project work.

    www.e-profound.com"
Equidam,http://equidam.com,"Equidam is a data-enabled technology that helps entrepreneurs as well as professionals to objectively estimate the fair market value of small businesses. Being based on constant data gathering and peer-group benchmarking, our system is the quickest and more accurate way to estimate the real-time price of small companies, leaving out all the bias and subjectivity of spreadsheets. For companies, it comes as a handy solution to understand the business value, disclose it and plan the future, at a fraction, even decimal of cost for valuation services. For financial professional, it comes as an additional tool to maximize own expertise and provide a third-party opinion to the valuation process, with the opportunity to customize the platform and reporting system.

    http://equidam.com"
ES Corporation,http://laxus.co/en/,http://laxus.co/en
Esmart Systems,http://esmartsystems.com,"eSmart Systems delivers a whole new generation of IT systems to energy market players where the efficient use of the energy market in a smart grid context is central

    http://esmartsystems.com"
ESRI,https://www.esrihu.hu,www.esrihu.hu
Eturnity,http://www.eturnity.ch/wp/home_en/,"Eturnity provides this des­perately needed access to relevant infor­mation with its products and technology and the basis for a succes­sful Energy Trans­ition.
""""""

    http://www.eturnity.ch/wp/home_en"
Eventee,https://eventee.co/en,"A mobile app that everyone will fall in love with. Eventee has been developed with attention to high quality and speed. Our application is fully native, not a slow and inexpensive web application that looks like a mobile application. We placed great emphasis on simple and intuitive controls during design and development, yet Eventee has advanced features too.

    eventee.co/en"
Evergreen Podcasts,https://evergreenpodcasts.com/,"Evergreen Podcasts is an emerging new network – a destination for top thought leaders and breakout brands to capture inspiring stories through branded content, original shows, and partner podcasts. Our comprehensive podcast production, creative marketing, and distribution solutions can help connect brands to a worldwide audience.

    evergreenpodcasts.com"
EverSafe,https://www.eversafe.com/,"EverSafe is a technology service that protects the financial health of seniors and their families against scams, fraud, identity theft and age-related issues. Elder fraud is an epidemic in the US. One in five seniors has been the victim of financial exploitation, with an average loss of $120K. Only one in forty-four cases are reported. It affects older adults regardless of economic stature, causing hardship and devastation to seniors and their loved ones alike. The perpetrators are strangers as well as professionals, friends and loved ones. Diminished financial capacity and dementia can also lead the senior to cause issues leading to financial losses. There are 18.5 Million financial caregivers serving the needs of older adults in the United States. EverSafe is used by financial caregivers to monitor the financial health of the individuals they are caring for as well as their own financial health and that of their families helping reduce the stress, time and often the cost of financial caregiving.

    www.eversafe.com"
EverySpend,http://www.everyspend.com/,"EverySpend is the first of its kind digital bank that leverages social networking to enhance your financial health. EverySpend makes savings as invigorating as spending.

    http://www.everyspend.com"
Evinance,http://evinance.com/,"Evinance was founded to focus on providing innovative solutions that improve patient care, and reduce healthcare costs. Their team has over 50 years combined experience building technology solutions for cancer care.
 

    http://evinance.com"
EVISCAN,https://www.eviscan.com/en/,"German eForensics is a new high-tech company committed to developing- and providing innovative solutions for crime scene investigation. Founded in 2012 in the “Technologiezentrum Koblenz”, which is home to many startups in the field of technology, we are set in a creative and dynamic environment seeking new ways to face today’s challenges.

    www.eviscan.com/en"
EWALLY,,"Ewally provides financial services mainly to the underbanked utilizing Blockchain technology. Its mobile application allows users to function as mobile ATMs, making deposits and withdrawals with their contacts, as well as transfers and bill payments with low or no fees."
Exaget,http://exaget.com,"Exaget is an early-stage technology company headquartered in Helsinki, Finland. Exaget helps radio stations increase their online presence with websites, mobile apps, and social management tools. In addition, Exaget provides data-driven engagement solutions to increase listenership and to generate advertiser leads effectively.

    http://exaget.com"
EXE Ingenieria & Software,http://www.exe.cl/en/,"EXE develops innovative solutions, based on information technology and people-centered, to impact the competitiveness of our customers. Helping them to develop innovative ideas that stand out in the market. 

    http://www.exe.cl/en"
ExecNote,https://teamexecnote.wordpress.com/about/,"ExecNote is a sales automation platform that is changing the way Sales Teams sell to Enterprise CEOs. ExecNote helps Sales Professionals leverage LinkedIn to engage and start 1 to 1 conversations online with their sales prospects and clients. By utilizing the ExecNote sales automation platform

    teamexecnote.wordpress.com/about"
Experenti,http://experenti.com,"Experenti is a magical laboratory with a high technological component.
We combine multiple ingredients to develop the most advanced mixed reality solutions - AR and VR - with the aim of improving the life and work of each one of us. We are constantly testing new ways to create exalting and useful experiences. Therefore, our customers are companies that look for innovative products in order to be more and more competitive.
In short, we don’t just make simple apps, but we’re creating a world so advanced it’s almost magical.

    http://experenti.com"
Exsis Software,http://exsis.com.co/,"We have experience of over a decade providing outsourcing services to American companies.Our experience and expertise areas cover a wide sector of the industry and we use the best practices recognized by the CMMI methodology in all our projects. We’ve developed several projects, all of them being successful cases. Our requirement analysts are in charge of understanding your business needs in order to specify the functionality of the information technologies that meets the needs of our customers.

    http://exsis.com.co"
EZ Lab,http://www.ezlab.it/,"EZ Lab is an innovative startup specialized in advanced software and digital solutions in the Smart Agri-food sector. AgriOpenData is the first software-platform that support farmers in the traceability and in the certification of agricultural products by using the Blockchain technology and Smart Contracts.

    http://www.ezlab.it"
Face2Face Health,http://www.f2fhealth.com/,"Face2Face Health is a web & mobile-based holistic pediatric telehealth platform, based on our model of Learn, Care, Share. Our mission is to help parents & caregivers accurately learn about, identify, and manage their children’s health and well-being challenges. We identified this need based on the fact that 1 in 5 U.S. children have developmental, emotional, physical or learning issues and only 30% of all children are screened or have access to care, information, and support.

    http://www.f2fhealth.com"
Facee,http://facee.io/,"Augmented reality software with applications in sports coaching and second screen broadcast content. When they joined our program, Facee was named 2mee. They rebranded since then.

    http://facee.io"
Facetts,https://www.facetts.com,"""We are tackling the problem of advanced user behavioural tracking online. This sophisticated technology is outing many, revealing specific/sensitive ideas/hobbies in context that one cannot control.
We make it possible to create communities that harvest no personal data, protect users from activity tracking done by major platforms to ensure that people have the protection they need to speak freely without outing them.
The 'silo tech' ensures true privacy, and beats any other options in the market.""

    www.facetts.com"
FameBit,https://famebit.com/#/,"FameBit is a marketplace that delivers the next generation of marketing by matching and connecting businesses to accomplished video influencers and structuring the process from influential video campaign creation to delivery. Through FameBit

    famebit.com/#"
Famileo,https://www.famileo.com/famileo/fr/,"FAMILEO is a mobile application for social networking allowing families and friends to keep easily in touch with their elderly friends and family members.
The family members can upload pictures and messages in the application. These documents are subsequently edited in the form of a newspaper, sent to the elderly members of the family who are not used to the Internet and do not have either a computer or a smart phone.

    www.famileo.com/famileo/fr"
Fannabee,,"Fannabee is the new way to catalog, trade & showcase your record collections of CDs, Vinyls & Memorabilia via web and mobile. Think of this web application as a digital box full of user’s physical collection. Here’s how it works: the user starts typing the name of its favorite artist, we return a complete list of existing items divided into 6 categories: Album, single, memorabilia, video, movie, book. User can select the items he owns with just 1 click and that’s it, the collection is made."
Fanpoint,https://www.fanpoint.com,www.fanpoint.com
Fashioholic,http://www.fashioholic.com/,"Fashioholic creates online Serious Games - quick games designed to captivate consumers and increase sales. Such games provide brands and retailers an effective marketing channel

    http://www.fashioholic.com"
