"Company Name","Location","Status","Company Contact","Company Contact Title","Primary Sector","Primary Sub-Sector","Primary Focus","Primary Target/Tech/Product","Secondary Sector","Secondary Sub-Sector","Secondary Focus","Secondary Target/Tech/Product","Description","Problem","Solution","Tags","URL","QFC Awardee","Blue Knight","Site Head"
"MiWendo Solutions","Virtual (Virtual)","Current Resident","","","MedTech","Other (MedTech)","Health Technology",,,,,,"MiWEndo is developing and validating a disposable medical device for early diagnosis of colorectal cancer based on microwave imaging.","Early diagnosis of colorectal cancer.","A disposable medical device attachable at the distal end of the colonoscope as an accessory. The device uses microwave imaging to warn physicians of the presence of malignant polyps by emitting an acoustic signal.","Oncology, Diagnostics, Colorectal, Gastroenterology, Device, Medical Device","https://jnjinnovation.com/JLABSNavigator/company/MiWendo_Solutions","Yes","No",""
"Mobio Interactive, Pte Ltd.","JLABS @ Shanghai (Shanghai), JLABS @ Washington, DC (Washington, D.C.)","Alumni","","","Pharmaceuticals","Neuroscience","Data Sciences",,"MedTech","Other (MedTech)","Data Sciences",,"To address the exploding demand for efficacious mental healthcare globally, Mobio Interactive has developed and commercialised an AI-powered digital theragnostic platform. It delivers clinically validated psychotherapy programmes personalised to every patient using digital biomarkers that quantify human brain states without relying on a wearable.","Limited access to clinically-validated mental health therapy, with an initial focus on psycho-oncology.","Our mobile DTx platform is powered by the world’s most accurate neural network for the objective quantification of stress via a 30-second selfie video.   With these data, we personalise the digital therapeutic to each individual, while generating real world evidence of the tool's overall efficacy.   Our platform created the first and only resilience app to outperform placebo in randomised controlled trials.","Mobile phone, AI, Digital Therapeutics, Mental Health, CNS, Psycho-oncology, Computer Vision, Psychotherapy","https://jnjinnovation.com/JLABSNavigator/company/Mobio_Interactive,_Pte_Ltd.","No","No",""
"Motilent Limited","JLABS @ BE (Beerse, Belgium), Virtual (Virtual)","Current Resident","","","Pharmaceuticals","Immunology","Gastroenterology",,"MedTech","Other (MedTech)","IUS Biomarker for IBD",,"Changing the way we see the gut by establishing the recognised global standard for the management of IBD and related diseases.","IBD is a chronic inflammatory problem starting early in life. It's managed with powerful and expensive inflammatory medications with a high 1-year failure rate. 

The impact of this is cost to healthcare providers on medication that isn't working but, most importantly, bad outcomes for patients who can spend years on the wrong drug, developing irreversible bowel damage necessitating surgery only to relapse after a few years. 

Everything about managing IBD is difficult especially drug development. Restrictive FDA criteria around endoscopic evidence of inflammation reduces recruitment (0.1 patients per site per month) making trials hugely expensive. This also means patients with sub-types of IBD like Crohn's Disease (that affects the small bowel) can be entirely missed from studies leading to a homogenisation of therapeutic assets at market serving a narrow population of patients. 

In summary, despite more drugs than ever in IBD outcomes are creeping forward at an unsatisfactory rate hampered by slow and inefficient research and trials and an absence of personalised medicine with the therapies we do have access to.","Motilent's objective is to get the right IBD patient on the right treatment at the right time. 

We have tackled this by developing a multi-modality platform called Entrolytics that brings together endoscopy, MRI, ultrasound and histopathology data as well as providing an surface for PRO's and expert annotations to be held and, importantly, shared in a highly structured and regulated way. 

Entrolytics is currently used my many of the worlds IBD KOLs at Mt Sinai, AUMC, KU Leuven, UCL, MasGen, May, Cincinnati and Cleveland across 130 projects. The platform is extraordinarily powerful for running complex multi-centre trials and, crurically, very cost effective obviating the need for a formal CRO. In the past 6 months over $15M in grant backed projects have started migrating data to Entrolytics. 

Through Entrolytics we also see opportunities for bespoke developed which we can then, as a medical device manufacturer, develop and FDA clear/ CE mark for clinical use. An example of this is GIQuant (and objective marker for small bowel Crohn's) currently in used in a growing number of UK, EU and US institutions e.g. UCL, GOSH, Stanford, Wisconsin Children's etc. 

Our vision is to strategically migrate our research services towards clinical use where Entrolytics will one day serve as the single platform for IBD use. Enabling efficient top quality research, identifying and phenotyping patients for registrational trials and providing real world evidence for claims. Most importantly, a repository for the complex medical history of IBD patients so that every patient can get the right treatment for them.","gastrointestinal, IBD, crohn's disease, fistula, clinical trials, inflammatory bowel disease, AI, ultrasound, endoscopy, MRI, magnetic resonance imaging","https://jnjinnovation.com/JLABSNavigator/company/Motilent_Limited","Yes","No",""
"MPC Therapeutics SA","JLABS @ BE (Beerse, Belgium), Virtual (Virtual)","Current Resident","","","Pharmaceuticals","Discovery, Product Development and Supply","Preclin Sci & Translational Safety",,"Pharmaceuticals","Oncology","Platform","Small molecule MPC inhibitors","We are pioneering novel T cell reprogramming solutions to help our customers develop successful adoptive cell therapies (ACT).","We have examined available human data to understand the underlying reasons of ACTs successes and failures. 

Through this, we have identified what we believe are the most important barriers to successful therapy:

- Exhaustion of T cells
- Metabolic fitness
- Ability to create the effective and self-renewing  therapeutic product in each dose we give to patients","In collaboration with 3 labs: of Prof. Jean-Claude Martinou, Prof. Pedro Romero and Prof. Denis Migliorini, we have developed our first product, MITO-66, a small molecule that triggers an epigenetic reprogramming and generate T cells that can persist, self-renew and provide durable stemness.

Furthermore, we have designed our small molecule, MITO-66, to be treatment agnostic and simple to use during the manufacturing processes of ACTs. MITO-66 is added during the activation phase of T cells and washed-out from the medium after the expansion phase. 

MITO-66 is a novel proprietary molecule that inhibits the Mitochondrial Pyruvate Carrier (MPC), a target at the heart of cellular metabolism.","Cell therapy: Metabolic reprogramming of T cells using a novel small molecule, A novel small molecule targeting the Mitochondrial Pyruvate Carrier (MPC), Stem cell proliferation using a novel small molecule","https://jnjinnovation.com/JLABSNavigator/company/MPC_Therapeutics_SA","No","No",""
"mPOD, Inc.","JLABS @ NYC (New York City)","Current Resident","","","Pharmaceuticals","Infectious Diseases","Platform","Diagnostics",,,,,"mPOD is a next-gen diagnostics company founded by Cornell & Harvard alums. We are committed to improving global health equity through scalable POC/OTC tools & platforms that improve accessibility to healthcare insights.","A robust data pipeline with reliable streamlined digital reporting from population-level testing is currently not available to healthcare providers and state/federal health officials. mPOD DxTrack’s core innovation lies in the ML approach to drive intelligence while using low-cost, scalable hardware for OTC/at-home deployment that was previously not possible. Ultimately, the DxTrack will improve 1) the accuracy/accessibility/utility of LFA tests, and 2) streamline digital reporting of OTC testing to help better manage the primary healthcare and pandemic security on a population scale.","mPOD has designed DxTrack, a low cost (<$5 COGS) machine-learning (ML) powered lateral-flow assay (LFA) interpreter  & digital-reporting platform. It can interface with any type of LFA test (including COVID-19), leveraging on-device machine-learning algorithms to interpret a test as positive or negative without use of the internet or a smartphone. DxTrack is reusable and can improve detection limit (more than 2X compared to visual interpretation) at a much lower cost than smartphone-based readers. With an internet connection, DxTrack can report the date, time, test manufacturer, test type and result to  state & federal health officials and other healthcare providers.","Aptamers, Diagnostics, Rapid Dx, COVID-19, Coronavirus","https://jnjinnovation.com/JLABSNavigator/company/mPOD,_Inc.","No","Yes",""
"MS Pen Technologies (fka Genio Technologies)","JLABS @ TMC (Houston)","Current Resident","","","MedTech","Lung Cancer Initiative","Detect",,,,,,"Real-time tissue diagnostic utilizing medical mass spectrometry platform to optimize medical decision, surgical intervention and treatment options for patients at point of care.","Today, many medical decisions rely on results obtained from an archaic system for examining tissue biopsies and surgical specimens whereby the tissue samples are sent to the laboratory, frozen, sliced into thin sections, stained with dyes and then examined by a pathologist under a microscope. This process is time-consuming and commonly results in diagnostic results that are not definitive.","Genio Technologies is addressing this deficiency in diagnostic and surgical pathology by commercializing intraoperative diagnostic devices combined with AI powered software that deliver real-time molecular information at the point of need to optimize surgical intervention and treatment for patients.","real-time tissue diagnostics","https://jnjinnovation.com/JLABSNavigator/company/MS_Pen_Technologies_%28fka_Genio_Technologies%29","No","No",""
"mSENSE","JLABS @ Shanghai (Shanghai)","Alumni","","","Consumer","Digital Health","Sensors",,"Consumer","Other (Consumer)","Platform","Patient Adherence","Positioned to be a high-tech company providing intelligent and professional health management solutions. Start from popularizing intelligent 5G narrow band IoT drug box/bottles.","The problem we are addressing is how to make health and chronic disease management more effective, more efficient, more personalized, at the same time also financially viable for the health system . For the lack of better information on individual status and disease progression, most disease management programs targert the ""average"" patient and have to assume everyone has similar needs as the ""average"" patient. Apparently, managing the ""average"" is inefficient, ineffective and being treated as the ""average"" is not satisfying. This is less a problem in acute care and hospital settings, but a huge problem for chronic disease management which is long term and complex.","Our solution is unique because it will take advantage of proper technologies to achieve cost-effectiveness,  personalization and scalability at the same time.     To better understand individual health status and needs, we deploy devices that are low cost, low power and wireless to track medication adherence, behaviors and symptoms. Monitoring devices can be selected according to individual needs to ensure the relevancy of the data and personalization. Because many of the devices used, such as wearables, pillbox, don't require regulatory approval, the cost of generating and aggregating data is low.    Once data from various sources are aggregated and centralized? advanced algorithms and big data analytics can be developed to   track the health status of individuals and different patient populations to capture early abnormalities. The  marginal cost of data analytics, once it is established, is low.   With data, we can finally manage chronic disease patients upon knowing who needs what kind of help and when they need it, what worked for him/her and what didn't.","Care Management, Drug Safety, IoT","https://jnjinnovation.com/JLABSNavigator/company/mSENSE","No","No",""
"Multitude Therapeutics","JLABS @ Shanghai (Shanghai)","Alumni","","","Pharmaceuticals","Oncology","Platform","CAR-T/Bi-specific/ADC","Pharmaceuticals","Oncology","Solid Tumor Targeted Therapy",,"Developing novel immunotherapy products (CAR-T/Bi-specific/ADC) for solid and blood tumors.","There is an urgent need for novel, high-quality therapeutic targets that can provide optimal therapeutic windows by diverse therapeutic modalities such as ADC, CAR-T and bi-specific antibodies.   To meet this need, we are systematically discovering novel tumor antigens to vastly expand druggable cell surface targets in the next few years.","Focus on discovering novel therapeutic targets to build cancer immunotherapy programs
We now have more than 10 CAR-T/Bi-specific/ADC programs based on novel targets
Multiple CAR-T programs are entering human trials in the next 3-6 months 
Cancer Surface Target Atlas for AML/MM and digestive cancers (Stomach, Liver, gastric)","Oncology, CAR-T, Platform","https://jnjinnovation.com/JLABSNavigator/company/Multitude_Therapeutics","No","No",""
"My Biomed Biotechnology","JLABS @ Shanghai (Shanghai)","Current Resident","","","MedTech","Lung Cancer Initiative","Detect",,,,,,"MBMbio is an oncology-focused precision diagnostic company that develops novel biomarker technologies to aid clinical decision-making.","Lung cancer is currently the leading cause of cancer deaths, accounting for nearly 20% of all cancers. Patients are typically asymptomatic at early stages and diagnosed at a late stage when metastasis is rapid and mortality rates are high. Early diagnosis is the key to allowing patients to receive effective treatment and improving survival in these patients. MBMbio is developing novel liquid biopsy technologies to address the problem of early lung cancer diagnosis.","MBMbio’s solution to early lung cancer diagnosis is dependent on three related technology developments as described below:
1. Red blood cells as a new source of cancer biomarkers: Most cancer liquid biopsy technologies are based on biomarkers found in blood plasma, including cfDNA, and CTCs. However, these biomarkers are not easily detected in early stage cancers because they are typically released from tumor tissue at a later stage of the disease. We reasoned that RBCs might be a better source of cancer biomarkers because they can be found in close proximity with cancer cells during early oncogenesis, thus allowing transfer of cancer derived molecules that can serve as biomarkers for early cancer diagnosis. Our R&D team has conducted in vitro experiments to show that there is a transfer of oncogene genetic mutations from cancer cell lines to co-incubated red blood cells. More importantly, we also have preliminary proof of concept clinical data showing that red blood cells, collected from early stage lung cancer patients (n=28), contains detectable DNA fragments that carry genetic mutations in EGFR and KRAS. 
2. RNA 2’-O-Methylation (Nm) sequencing: RNA Nm modification is a form of epigenomics that is increasingly recognized as an important regulator of RNA biology. One of the bottlenecks in the field is a reliable method to conduct high throughput sequencing of Nm modification. Our R&D team has developed a gentler and less labor-intensive enzyme-based method that can be applied to all classes of RNA molecules including rRNA, tRNA and mRNA, and in various tissues and cell types. We also have evidence to show that our Nm sequencing technology can be used to detect changes in Nm modification in a variety of biological contexts such as virus infection and cancer. In pilot experiments, we have used this technology for biomarker discovery in early lung cancer patients, discovering an mRNA Nm modifications signature that can accurately differentiate between stage I lung cancer and controls (n=35).
3. Omics data processing algorithm: Our R&D team has also developed an algorithm to screen large genomic datasets and select a minimal features signature panel that can be used to stratify samples. This is an important component in developing affordable diagnostics as it dramatically lessens the amount of targets that need to be detected. This technique has been used in ovarian serous cystadenocarcinoma and cutaneous melanoma patient samples to select biomarkers that have prognostic value. We recently performed DNA 5mC sequencing on RBC patient samples collected from early stage lung cancer patients (n=95, including 60 with lung nodules less than 1cm), then used our algorithm to select a four feature panel that had an AUC = 0.97.

Based on all our preliminary data, we are aiming to develop an early lung cancer diagnostic panel at very reasonable cost that is based on RBC+RNA Nm/DNA 5mC+Algorithm. Subsequently, this methodology can be extended to other early stage cancers. 

Note: The preliminary research results mentioned above are non-public information and need to be kept confidential.","Oncology, 5mC Methylation /Nm Methylation, Liquid biopsy, early cancer detection, companion diagnostic, red blood cell, epigenomics, computational biology","https://jnjinnovation.com/JLABSNavigator/company/My_Biomed_Biotechnology","No","No",""
"My Veta Health","JLABS @ NYC (New York City)","Alumni","","","Pharmaceuticals","Other (Pharmaceuticals)","Health Technology",,,,,,"Veta  Health build  and  deploy  intuitive,  user-friendly  technology  that  transforms  how  patient  care  is delivered beyond traditional care settings, resulting in a simpler and more transparent healthcare experience for all.","90% of the patient journey occurs beyond the reach of clinical teams and patients are often left to their own devices to interpret and act on their disease or condition. There is a lack of evidence-based medicine and clinically-driven patient support mechanisms, which leads to poor health outcomes and adherence.","The Veta Health platform utilizes a combination of patient tracking & support mechanisms from digital biomarkers to medication adherence to content and community support. Real-time patient tracking and automated patient management is married with advanced analytics to intelligently respond to patients in real-time. The flexible technology can be applied for automated care management and advanced risk scoring as well as a digital wrapper for drug therapies.","Patient Engagement","https://jnjinnovation.com/JLABSNavigator/company/My_Veta_Health","No","No",""
"MyHealth.Us   (aka MyInfo LLC)","JLABS @ NYC (New York City)","Alumni","","","Consumer","Digital Health","Mobility/Wearables",,,,,,"THE RIGHT INFORMATION AT THE POINT OF CARE FOR BETTER OUTCOMES We empower users with easy-to-use wearables and data access to help them manage their health, get better care, reduce costs, be prepared for emergencies and access preventive and predictive care solutions.","In an emergency and during diagnosis and treatment, most people and HCP do not have access to important and latest patient records, observations and tracking or assistance getting innovative affordable care, leading to delays, errors, worse outcomes and higher medical costs.","MyHealth.Us provides a unique digital LifeCode and health management platform to empower individuals, families and organizations to own their health future and be prepared for any situation by providing instant access to their emergency medical profiles and to their medical and sensor data. Individuals and caregivers can better track health conditions online and 24/7 get support and assistance getting better, more innovative and affordable care. Consumers are able to better manage their health, get better care, and reduce the chance for medical error. Payers and care networks see lower costs of care and more program loyalty.","Care Management, Clinical Research, Diagnostics, EMR, Enabling Technology, Mobile, Mobile App, Mobile Health, Screening Technology, Wearable, Wearable Device, Wearable Technology, Wearables","https://jnjinnovation.com/JLABSNavigator/company/MyHealth.Us___%28aka_MyInfo_LLC%29","No","No",""
"Mymee","JLABS @ NYC (New York City)","Alumni","","","Pharmaceuticals","Immunology","Data Sciences",,,,,,"Mymee has two issued patents relating to combining self-tracking patient data with biosensors.","There are 24 million Americans who suffer from at least one autoimmune disease, a $136B problem while another 100 million have elevated ANA (pre-autoimmune disease), making it the second largest pop health problem facing our country.  The current standard of care for autoimmune disease patients usually involves putting patients on steroids and immunosuppressant drugs, or getting surgeries.  Unfortunately, these drugs are expensive and lead to debilitating side effects, including organ failure and death.  There are 157 different autoimmune diseases and most are rare, so this costly population has been largely ignored.  We solve the problem underlying all of them- immune dysregulation which allows us to consolidate all these rare diseases into one massive problem worth solving.","Our Digital Therapeutics program reverses the symptoms of chronic autoimmune disease through data analytics and health coaching which reduces or eliminates the need for expensive specialty pharmacy drugs.  In 16-weeks Mymee builds data models of each participant based on patient-generated health data.  Week by week the coach customizes the app so that patients track an adaptive set of potential triggers against their symptoms.  Machine learning allows us to collect the minimum viable data to help coaches identify the root cause of each patient’s disease. They create behavioral change to mitigate or reverse symptoms, dramatically improving quality of life and decreasing cost of care.","Epigenetic, Digital Therapeutic, Chronic Care Management, Autoimmune Disease, Microbiome, Data Mining, Digital Therapeutics","https://jnjinnovation.com/JLABSNavigator/company/Mymee","No","No",""
"Myrobalan Therapeutics, Inc. (Myro Therapeutics)","JLABS @ Shanghai (Shanghai)","Current Resident","","","Pharmaceuticals","Neuroscience","Alzheimer's Disease (AD)",,"Pharmaceuticals","Neuroscience","Multiple Sclerosis (MS)",,"Our mission is to develop first-in-class and best-in-class small molecule drugs for the treatment of neuroimmune, demyelinating, neurodegenerative and neuropsychiatric disorders","Developing therapeutics to address the unmet need and societal burdens posed by neurodegenerative, demyelinating and neuropsychiatric disorders.  While current therapies for CNS disorders address some aspects of disease, none effectively slow down disability progression, promote repair, or restore functions.","Restoring brain health by harnessing common disease mechanisms to create breakthrough therapeutics with broad utility in CNS disease. Developing FIC and BIC small molecule drugs promoting remyelination and reducing neuroinflammation.","small-molecule, neuroscience, remyelination, neuroinflammation, CNS, ALS, Alzheimer’s, multiple sclerosis","https://jnjinnovation.com/JLABSNavigator/company/Myrobalan_Therapeutics,_Inc._%28Myro_Therapeutics%29","No","No",""
"MyX Therapeutics (fka MucoTeck)","JLABS @ Toronto (Toronto)","Alumni","","","Pharmaceuticals","Other (Pharmaceuticals)","Platform","Drug Delivery Platform",,,,,"Company has developed a drug delivery technology that covalently links to mucous membranes. The delivery vehicle is able to deliver pharmaceuticals reliably due to covalent linkage. First application is for delivery of drug to the eye.","First and foremost: classic R&D start-up financial restraints  Partnering for POC to building the validation data and value  Formulation, process optimization and scale up will need to be evaluated for each new drug candidate  Creating the strategic regulatory path for development in indications internally and externally with partners  Laboratory space and equipment to allow us to create necessary validation data for the platform in various indications.","Unique Design for Superior Hydration & Mucosal Retention  Biodegradable, Non-irritating & Water-soluble Multi-functional Composition  Novel Composition that Provides an Effective Extended Dosage Strategy for Controlled Duration with Less Frequent Administrations (1x/day to 1x/wk)  IP Covering Composition & Use, Granted in US, EU, JP, & CN","Drug delivery, Ocular Delivery, Long-Acting Delivery","https://jnjinnovation.com/JLABSNavigator/company/MyX_Therapeutics_%28fka_MucoTeck%29","No","No",""
"Nanochon","JPOD @ Philadelphia (Philadelphia), JLABS @ Washington, DC (Washington, D.C.)","Current Resident","","","MedTech","Orthopaedics","Joint Reconstruction",,"MedTech","Orthopaedics","Platform",,"Nanochon has developed a 3D printed, nanostructured material for cartilage repair and regrowth in joints..","Nanochon’s device will provide an effective therapy for early and less invasive treatment of knee injuries. Based on the technology’s performance and the needs of the sports medicine market, there are a number of key value propositions to our business. So far, surgeons interviewed or who have worked with the device experimentally found the product easier to use than existing products, which could lead to more treatments in a year. Because the device can be implanted arthroscopically, procedure can be done in surgical center with same day recovery. This means that treatment can 1) be a more attractive option for patients and 2) surgeons can do the procedure in their own outpatient facilities instead of hospitals. The material itself is relatively low cost and works with existing, scalable 3D printing technology, meaning that the device unit cost is low and the margin high, so the downstream procedure will costs less money. This also means that the center for Medicare services and insurance companies should issue a CPT code or allow Nanochon to leverage existing codes for grafts and implants. Finally, the recovery time for patients will be quicker than graft and cadaver tissue treatments. This means that the surgeon can potentially treat more patients in a year and attract new patients to their practice.","The device is based on 3D printing and a novel, nano-structured, synthetic material. Together, proprietary 3D designs and the material enable Nanochon to create an implant which is effectively “artificial” cartilage. The device works by replacing lost or damaged cartilage immediately, while also causing new tissue growth and healing long term. This provides two key benefits 1) patients are able to have shorter, less involved and more successful recovery and 2) have an effective treatment that lasts for years. The device has other unique characteristics too. Because of the durability of the material, and the flexibility provided by a 3D printed part (as opposed to traditional manufacturing) the device is highly malleable. This means that a large, 1.5 cm to 2 cm implant can be rolled up and fit through an arthroscope. And once inside the joint space, a surgeon can easily form the implant into place and tack it down using surgical sutures or pins. Currently graft tissue and other treatments of this size cannot be implanted arthroscopically, meaning patients have to undergo a longer, more invasive procedure with a much longer recovery time.  The device was recently trialed in a goat model, where a 1 cm (large) cartilage defect was treated in the knee. Animals recovered and were walking for 4 months. Removed samples saw the most effective recovery compared to microfracture, and true cartilage growth was observed vs. scar tissue.","3D Printing, Cell Therapy, Chronic Pain, Clinical Research, Flexible Manufacturing, Sports Medicine, Biomaterials, Longevity","https://jnjinnovation.com/JLABSNavigator/company/Nanochon","Yes","No",""
"Nanome","JLABS @ San Diego (San Diego)","Alumni","","","Pharmaceuticals","Other (Pharmaceuticals)","Platform","Computational Drug Discovery","Pharmaceuticals","Other (Pharmaceuticals)","Health Technology",,"Virtual workspace that allows scientists to explore their molecules more effectively.","Pharmaceutical companies waste billions of dollars per year through failed trials and poor understanding of compounds. These problems can be solved by increasing the structural understanding of interactions at the nanoscale. The R&D process for drug discovery heavily relies on 2D monitors, keyboard and mouse which limit understanding of complex 3D structures or interactions. This contributes to massive R&D costs averaging $2.5B per drug. Outdated interfaces severely limit collaboration and intuitive understanding. Using Nanome’s Virtual Reality Software, the users’ understanding of structures becomes immediately obvious, which is not the case in legacy computational approaches to nano scale design. The live collaborative aspect of Nanome software allows for the seamless communication across all parties involved in structure-based drug discovery which no other solution provides.","Our solution takes advantage of the latest advancements in consumer-grade virtual reality to interface with high-end computational algorithms in computational chemistry. The immersive virtual workspace allows scientists to explore their molecules more effectively, reduce the time needed to gain spatial and structural understanding of their data, and increases the rate of idea generation and validation. Molecular manipulation is up to 3x faster in VR than using a mouse and keyboard, which could lead to costs savings of 14% of a cost of a drug.  In addition, our blockchain backend system, Matryx, allows users to immutably prove the time and originality of their molecular designs in virtual reality. This approach to combine computational chemistry, structure based drug design, virtual reality, and blockchain has never been done before. We are the first movers of its kind and we have a provisional patent filed in 2016.  Advantages: Proprietary molecular VR Patent Full molecular VR Interface Seamless user experience Fastest molecular surface generation algorithm on the market First to market for STEM (Science, Technology, Engineering, Mathematics) VR Leverage blockchain for scientific collaboration Partnerships with top Pharmas Deployed widely across Universities  Barriers to Entry: Already deployed to top Pharmas Multi-year software development time Highly Specialized VR and molecular graphics development team required  We highly recommend trying out our software available on the Oculus and Steam VR app stores but if you don’t have a desktop based VR headset feel free to check out our youtube channel to get a feel: https://www.youtube.com/nanome","VR, Virtual Reality, Computational Chemistry, Modelling, COVID-19","https://jnjinnovation.com/JLABSNavigator/company/Nanome","No","No",""
"Nanomedical Systems","JLABS @ TMC (Houston)","Alumni","","","Pharmaceuticals","Neuroscience","Pain - Non-Neuropathic",,"Pharmaceuticals","Other (Pharmaceuticals)","Platform","Drug Delivery","NanoMedical Systems (NMS) develops novel drug delivery devices based on its proprietary nStrada? nanofluidics platform for sustained release (up to 6 months) of chronic therapies.","Poor adherence to many chronic medications reduces their effectiveness, discouraging patients during their treatment while adding burden to the physician and payer resources of the healthcare sector. The annual cost to the US of nonadherence with prescriptions is estimated to exceed $300 billion annually. Significant efforts have been made to solve this problem with sustained-release drug delivery technologies. However, despite billions of dollars spent in research and development over the past few decades, a simple and practical solution to support the long-term treatment of many diseases has not been found. The availability of a technology that meets this need would be transformative for patients, doctors, and payers, and it would offer a major improvement in the quality of life of patients who must take medication frequently. 

Of specific interest is the opioid crisis facing many communities. According to recent estimates, there are 2.5 million people with opioid use disorder in the U.S. Approximately 20 percent of this population is addicted to illicit opioids, such as heroin, and the other 80 percent to prescription opioids, such as oxycodone, hydrocodone, etc.  Recent efforts have attempted to treat moderate to severe opioid use order using a drug called buprenorphine.  Existing treatment options include, sublingual administration, injectable depots and implantable rods, however, these approaches are sub-optimal.","NMS is developing a miniature, implantable nanofluidics device based on the nStrada™ platform for the long-term, subcutaneous delivery of buprenorphine (BUP) as a treatment for moderate to severe opioid use disorder.  The targeted implantation time is six months and potentially longer depending on the properties of the BUP formulation.  The nStrada™ devices rely on diffusion (passive or controlled) to achieve steady-state drug concentrations within a few days and then maintain constant release for the duration of the implant.  This behavior is a significant improvement over polymer-based implants and depots which suffer from an initial burst release and multiple weeks or months to achieve steady-state concentrations.  NMS was recently awarded a $3M grant from the Department of Defense to fund the pre-clinical development efforts for this combination product.","Drug Delivery, Long-Acting Delivery","https://jnjinnovation.com/JLABSNavigator/company/Nanomedical_Systems","No","No",""
"Nanovista Inc.","JLABS @ Toronto (Toronto)","Alumni","","","MedTech","Surgery","Medical Imaging",,"MedTech","Lung Cancer Initiative","Lung Cancer",,"Nanovista specializes in visualization agents designed specifically to enhance the performance of image-guided interventions such as surgery, radiotherapy and drug delivery.","Image-guided surgery is a growing interventional space that currently includes over 3 million procedures per year in the United States. Yet, there is currently no imaging agent on the market specifically designed for image-guidance applications. There is, therefore, an unmet need and a tremendous business opportunity in the area of image-guidance visualization agents.","CF800’s unique feature set includes:
•	Multimodality imaging capability
•	Ability to visualize tumor lesions and their boundaries
•	Specific identification of malignant lymph nodes
•	Prolonged visualization of blood vessels and the cardiovascular system, and
•	High performance longitudinal imaging achieved with only a single intravenous administration.
•	Another attractive aspect of CF800 is that it can be easily implemented without changing the existing clinical workflow. CF800 has the potential to be of significant benefit to the four key stakeholders involved in image-guided surgery: the surgeon, the patient, the healthcare provider, and industry partners.","Diagnostic, Lung Cancer, Visualization, Oncology, Surgery","https://jnjinnovation.com/JLABSNavigator/company/Nanovista_Inc.","Yes","No",""
"Nanowear","JLABS @ NYC (New York City)","Alumni","","","MedTech","Cardiovascular & Specialty Solutions","Cardiology",,"MedTech","Other (MedTech)","Health Technology",,"Nanowear is developing its device, SimpleSense, that will provide a first-of-its-kind algorithmiccombination of non-invasive actigraphy, ECG, Heart-rate variability, respiratory rate, impedancecardiography, thoracic impedance and cardio-phonography, successfully predicting decompensatingHeart Failure weeks in advance of an event causing a hospital readmission.","Congestive Heart Failure (CHF) monitoring represents a massive market opportunity, impacting nearly 6M individuals in the U.S. with new diagnosis growth of more than 10% annually. With annual healthcare costs of ~$31B, $17B to Medicare alone, and the current monitoring care continuum only has two primary end points; at the low end, a Bluetooth/wifi-enabled scale, and at the other end of the spectrum, the CardioMEMS implantable chip -- a device that costs tens of thousands of dollars and is struggling with reimbursement.   Many companies have tried to tackle CHF disease management through both implantable and non-invasive devices, mostly focused on trans-thoracic impedance. However, no single company has shown success rates of alert monitoring to worsening CHF; such alerts would allow medical professionals and patients to titrate their medication, alter diet, activity, etc., before lagging symptoms appear. This is the problem of looking at trans-thoracic impedance alone -- fluid accumulation is a lagging indicator and while there is a window of 24-48hrs to alter medication before symptoms severely worsen, there needs to be an approach that can better the 24-48 hr window as this window has not proven to reduce recidivism or increase patient compliance.  Novel, unobtrusive solutions are needed to monitor CHF patients outside of the hospital in an effort to catch and treat potential subsequent events ahead of major deterioration in patient health, resulting in repeated hospitalization. For many patients, titration of diuretic medication is the key mitigate to preventing fluid accumulation in the thoracic cavity and likely hospitalization.   As healthcare costs continue to skyrocket, and pressure from payors / CMS continue to push for remote monitoring solutions over in-patient care, CHF and other chronic diseases will be a primary focus for industry incumbents and start-ups. CHF is the lone chronic disease market that presents an otherwise greenfield opportunity with significant disruption potential.","Nanowear is developing its device, SimpleSense, that will provide a first-of-its-kind algorithmic combination of non-invasive actigraphy, ECG, Heart-rate variability, respiratory rate, impedance cardiography, thoracic impedance and cardio-phonography, successfully predicting decompensating Heart Failure weeks in advance of an event causing a hospital readmission. This thesis is further supported by Boston Scientific’s HeartLogic / MultiSENSE data trials released at AHA in November of 2016, showing a >70% success rate of alerts in combining these 6 metrics through various implantable devices and software systems.  A significant difference in Nanowear’s device is the utilization of our FDA-cleared cloth-based nanosensors which not only address compliance needs for at-home monitoring, but also provide a significantly higher fidelity signal than standard skin-based electrodes or implantable devices. Due to Nanowear’s proprietary sensor technology, raw signal quality from cloth-based nanosensors are unaffected by hair, sweat, moisture and movement, providing a highly unique and clean data set for data science and machine learning","Nanotechnology, Monitoring Platform, Wearable","https://jnjinnovation.com/JLABSNavigator/company/Nanowear","No","No",""
"NanoXCell Therapeutics","JPOD @ Philadelphia (Philadelphia)","Alumni","","","Pharmaceuticals","Oncology","Platform","CAR-T",,,,,"CAR-T therapy.","NanoXCell is a startup working at the intersection of biotechnology and nanotechnology, focused on solving problems related to cost, limited packaging capacity, and issues with multiplexing of current viral vector technologies.","Our mission is to develop improved gene transfer technologies to create the next generation of cell therapies.","CAR-T, Drug Delivery, Nanotechnology, Delivery Device, Gene Therapy","https://jnjinnovation.com/JLABSNavigator/company/NanoXCell_Therapeutics","No","No",""
