Company Name,Company Link,Description,Location
At HUM,https://athum.com/,"At HUM is the real estate industry's first AI interior designer, helping property developers and real estate agents overcome a critical barrier to sales: lack of customer imagination. The platform guides customers through quick consultation to predict their needs, lifestyle and style to show them a virtually staged, photo-realistic 3D space furnished to their exact tastes and needs. In the past 8 months, At Hum has already helped sell over 500 units, shortening the sales cycle by over 25%, and reducing costs associated with physical models and staging.","San Jose, CA"
Cherre,https://cherre.com/,"Cherre provides investors, insurers, brokers and other large enterprises with a Platform-as-a-Service to collect, resolve, and augment real estate data from thousands of public, private, and internal sources.","New York, NY"
Cityzenith,http://www.cityzenith.com/,"Cityzenith helps building professionals to aggregate and analyze hundreds of dynamic data sources to better design, build, and operate complex, multi-building project locations of any scale, anywhere in the world.","Chicago, IL"
CoFi,https://www.cofisoftware.com/,"Construction lenders historically struggle to develop new loan opportunities cost-effectively. Leveraging CoFi, lenders increase construction loan deal flow by 50% driven by developer and contractor demand to get faster access to timely construction progress payments. CoFi reduces construction payment processing time by over 90% from an industry average of 74 days to 5 days enabling developers and lenders to greatly streamline cash flow.","Alpine, UT"
Ecomedes,https://www.ecomedes.com/,"Ecomedes makes sustainable purchasing easy with a digital data management platform for finding the best products for a particular project and simplifies analyzing and documenting the economic and environmental impact by automating the current fragmented, frustrating and time consuming workflows.","Fort Myers, FL"
Flower Turbines,http://flowerturbines.com/,"Flower Turbines creates small, quiet, aesthetically pleasing wind turbines that can be used in close proximity to buildings and people.","Stony Brook, NY"
Fohlio,https://www.fohlio.com/,"Fohlio helps architects and designers save significant time and money by automating specifications, generating business intelligence from existing projects’ product data, centralizing the bid and offer process, collaborating with construction teams, and streamlining transactions with vendors.","New York, NY"
Ipsum,https://www.ipsumapp.co/,"Ipsum is a web and mobile app that helps construction companies implement lean construction techniques with BIM methodologies to prevent delays, avoid cost overruns, and plan projects more efficiently.","Santiago, Chile"
KettleSpace,https://www.kettlespace.com/,"KettleSpace takes under-utilized assets such as restaurants in their off-hours, empty hotel lobbies, or unused event spaces and turns them into a network of on-demand workspaces, serving a market of tens of millions of remote workers in the U.S. Significantly asset lighter than traditional coworking, KettleSpace costs a lot less, scales a lot faster, and is poised to capture a large share of the $15B US coworking market as well, especially with increased employer appreciation of remote work solutions.","New York, NY"
Knowify,https://www.knowify.com/,"Knowify modernizes the office for commercial subcontractors, giving them a software platform with powerful, paperless tools to bid, track, and invoice their jobs.","New York, NY"
Kognition,http://www.kognition.ai/,Kognition combines live security camera footage with sensor data to detect security threats such as unauthorized entrants who “piggyback” on roughly half of all authorized entrants to corporate worksites.,"Philadelphia, PA"
Lotik,http://lotik.com/,Lotik provides water monitoring as a service with wireless sensors that clamp onto pipes and plumbing fixtures to detect water flow and identify leaks and send the data to the cloud for analysis.,"New York, NY"
Lynx,https://www.getlynx.co,"Lynx is a smart home automation platform that enables operational efficiency, workflow automation, and improved resident experience with software for smart apartments in both the short-term rental and residential markets. The enterprise-grade platform supports over 300 locks, thermostats, lights, and other connected devices (10x their closest enterprise competitor) and incorporates features like no-app-required time-restricted entry for building staff, guests, contractors, dog walkers, delivery people, and other service providers.","Chicago, IL"
myComply,https://mycomply.net/,myComply is the go-to platform that general contractors use to reduce their liability by verifying training and certifications of all site personnel.,"Saskatchewan, Canada"
PassiveLogic,https://passive-logic.com/PL/,"PassiveLogic turns complex building automation into a simple plug-and-play experience with tablet-based software that quickly scans a building and creates its “digital twin,” complete with autonomous algorithms that enable smart buildings to control themselves.","Salt Lake City, UT"
Raxar,http://www.raxar.com/,"Raxar’s software streamlines and ensures quality, safety and compliance and helps its customers improve their long term planning.","Tampa, FL"
Ruckit,https://www.goruckit.com/,"Ruckit is a collaborative logistics platform that enables construction material producers, contractors & carriers, GCs, and subs to order, track, and manage the movement of bulk materials from plants to job sites. Ruckit automates invoice processing and reconciliation, optimizes the dispatch and routing of haulers and streamlines transportation management and their back office. Ruckit has 40 customers in 15 states including CRH & Summit Materials, 2 of the 6 largest producers of asphalt and rock in the US, and large infrastructure builders and operators like Ferrovial & Zachry.","Austin, TX"
SmartBarrel,https://www.smartbarrel.io/,"Smart Barrel drastically reduces construction labor fraud with a sign in kiosk equipped with a facial detection camera. Rugged, solar powered and self-contained, with no app or RFID tags required, Smart Barrel provides instant, “tag-buddy proof” time sheets with indisputable audit trails.","Miami, FL"
Snappt,https://www.snappt.com/,"Snappt provides landlords with a mobile-friendly rental application and leasing platform that aggregates all applicant data directly from the source, evaluates any self-uploaded documents for possible fraud, and qualifies the resident based on the property owners’ acceptance criteria.","Los Angeles, CA"
Stoop,http://mystoop.com/,"Stoop is a software platform that helps multifamily landlords rent furnished, shared (e.g., rent-by-the-bed) spaces to the rapidly growing segment of renters who want those kinds of accommodations. Stoop guides the landlord through the process of furnishing and servicing the units appropriately and currently lists 280 beds from 20 landlords for prospective renters.","New York, NY"
Strayos,https://www.strayos.com/,Strayos is a drilling and blasting solution for mining and construction companies that uses aerial and drone-captured images to help optimize drill placement and explosive quantity to reduce time and costs while improving productivity and safety.,"St. Louis, MO"
Stringbean Technologies,https://www.stringbean.tech/,"Stringbean Technologies gives world-class property management organizations accountability, visibility, and consistency via workflow software that coordinates facility maintenance staff and vendors, tracks performance, and maintains audit-ready documentation for daily walkthrus to maintenance requests to cooling tower inspections, and more.","Valley Stream, NY"
TRAXyL,https://traxyl.com/,Making optical fiber installations as simple as painting a road marking on pavement that will enable access to hi-speed communications anywhere there is a road.,"Gainesville, VA"
VirtualAPT,https://virtualapt.com/,"VirtualAPT is the only company that uses proprietary autonomous robots to produce fully interactive 360° tours for enterprise clients in the real estate, hospitality and retail sectors. The VirtualAPT remote viewing platform enables leasing agents to give guided or customer-directed tours faithfully recreating the in-person experience and to play other video content without lag or latency, dramatically increasing revenue, reducing vacancies, and enabling business to thrive despite physical access challenges.","Brooklyn, NY"
101,https://www.101edu.co/,"101 is a mobile-first platform with revolutionary interactive design that makes it more effective for college-level students to learn critical problem-solving skills in STEM subjects such as chemistry, physics, and calculus.","New York, NY"
Adaptly,http://adaptly.com/,"Adaptly enables the world's biggest advertisers to scale campaigns across Facebook, Instagram, Snapchat, Twitter, and Pinterest through tech and services.","New York, NY"
Admit.me,https://www.admit.me/home,"Admit.me connects students with admissions experts, alumni and current students enabling users to get feedback, tips and answers to help them choose target universities and navigate the admissions process. Users can manage their application, discuss challenges, and connect with other applicants globally.","Towson, MD"
Bar &amp; Club Stats,https://www.barandclubstats.com/,"Bar & Club Stats Smart ID ScannerTM is the premier mobile ID scanning solution in the United States. Based off an iPod, iPad, or iPhone, the ID scanners protect against underage drinking and enable business owners to become smarter about their customers.","Brooklyn, NY"
Bazaart,http://www.bazaart.co/,"Bazaart is an innovative photo editing app selected for the App Store Best of 2014, which strives to simplify the complexity of professional photo-editing for the mainstream audience, by completely re-imagining the user experience on mobile.","Tel Aviv, Israel"
Callida Energy,http://www.callidaenergy.com/,"Callida Energy offers software that learns occupancy patterns and models energy use to increase net operations and reduce carbon emissions. A 24-hr predictive control allows them to plan for savings, not just when the weather changes.","New York, NY"
CampusESP,http://www.campusesp.com/,CampusESP helps colleges leverage parent and family involvement to improve student success.,"Philadelphia, PA"
Chalk,https://www.chalk.com/,Chalk uses real time data from the classroom to help schools understand what actually works to drive student success.,"Ontario, Canada"
Cloudamize,https://www.cloudamize.com/,Cloudamize’s (acquired in 2017) platform helps engineering teams get the best possible cloud performance at the lowest possible cost.,"Philadelphia, PA"
Cloudmine,https://cloudmineinc.com/,"Cloudmine is a HIPAA Compliant Health Cloud that allows customers to easily create secure digital health applications. The Cloudmine toolkit enables enterprise health organizations to develop a secure, interoperable, scalable healthcare application in less time and for a fraction of the cost of doing it by themselves.","Philadelphia, PA"
Commit Swimming,https://www.commitswimming.com/,"Commit Swimming is developing a workout collection and analytics platform. Commit’s mission is to provide data-driven workouts to coaches, trainers, and athletes who currently rely on intuition, personal experience, or contradictory research to train.","Philadelphia, PA"
ConveyIQ,https://www.conveyiq.com/,ConveyIQ (formerly TakeTheInterview) is changing the way companies communicate and engage with top talent. ConveyIQ has brought to market an end-to-end recruitment management platform that addresses the full spectrum of the talent recruitment process.,"New York, NY"
CreatorUp,https://www.creatorup.com/,"CreatorUp is an e-learning platform that helps small businesses and amateurs learn how to make and market video content. CreatorUp changes old education models to suit every type of learning style, schedule, and budget to create the best experience on learning how to make and market video content.","Los Angeles, CA"
Detective,https://www.detective.io/,Detective by Charlie transforms sales prospect research by introducing automation to what is today a very manual process of sales representative call qualification and research.,"Chicago, IL"
Dibs,https://www.ondibs.com/,Dibs is bringing dynamic pricing technology to the fitness industry. Dibs has developed pricing algorithms and consumer behavior analytics to enable the dynamic pricing of studio fitness classes on demand.,"New York, NY"
Elevate,http://www.mindsnacks.com/,"Elevate Labs is on a mission to improve people's minds. Since 2014, we’ve helped over 40 million people improve their communication and math skills with Elevate, which won Apple's App of Year award. With Balance, we’ve created an innovative, personalized meditation experience that helps people improve their stress, sleep, and more.","San Francisco, CA"
eyeQ,https://www.eyeqinsights.com/,"eyeQ’s fully aware and responsive digital displays provide engaging, personalized content for shoppers, and rich shopper insights for brands to improve the overall in- store shopping experience.","Austin, TX"
FastFig,https://www.fastfig.com/,"FastFig develops and delivers a math engine for engineering students and teachers to type and solve math problems. Their main product allows students to not only type and solve problems from multiple devices, but also save notes, print their problems, or even share them with other users.","Philadelphia, PA"
Fiestah,http://www.fiestah.com/,"Fiestah is an online event planning platform that helps organizers compare ideas and offers from a list of curated vendors. It an easy-to-use platform to help event organizers and vendors collaborate, transact, and manage logistics together.","Kuala Lumpur, Malaysia"
Grassroots Unwired,http://www.grassrootsunwired.com/,"Grassroots Unwired helps non-profits use technology to grow their constituent bases, raise more money, and capture information that is turned into useful data to be used in outreach efforts across their organizations.","Philadelphia, PA"
HeyKiKi,https://www.heykiki.com/,HeyKiki is a platform that connects activity enthusiasts with trusted local instructors and practice partners for a variety of interests. The company aggregates and recommends activities based on user preferences.,"New York, NY"
Houseparty,https://houseparty.com/,"Houseparty (formerly Life on Air/Meerkat) is a mobile app for live video chatting with groups of friends. The app allows you to have up to eight people in a room, and have several “parties” occurring at once. Users can live broadcast, and any other friends on the app can join the party unless it’s a closed group.","San Francisco, CA"
hyperPad,https://www.hyperpad.com/,hyperPad allows non-technical users like artists to create amazing mobile games then publish them to the App Store as native apps.,"London, United Kingdom"
Indiewalls,https://www.indiewalls.com/,"Indiewalls is a platform that makes it easy to find the right art for any project. For designers, interior decorators and business owners.","New York, NY"
InterviewBest,http://www.interviewbest.com/,InterviewBest helps users prepare for their job interviews by generating printed presentations that can be used during their interviews.,"Philadelphia, PA"
Knack,https://www.knack.com/,Knack makes it easy to build online databases and business applications with no coding.,"New York, NY"
Lessoncast,https://www.lessoncast.com/,"Lessoncast transforms how teachers get better at what they do in the classroom, enabling schools to see and improve how they spend $8B/yr on teacher development.","Towson, MD"
LevelUp,https://www.thelevelup.com/,"LevelUp is the largest open mobile payments network. Consumers use their LevelUp account to pay with their smart device or web browser, demonstrating the fastest and easiest way to pay. (Subsequent to 6/30/2018, LevelUp was acquired by Grubhub).","Boston, MA"
Locorobo,https://locorobo.co/,"Locorobo uses their expertise in efficient robot design, control algorithms, A.I. sensors, and software to create robots for consumer, commercial and educational applications. Initially, the company was focused on building educational robots to help children develop the skills and knowledge to thrive in the 21st century.","Philadelphia, PA"
MetaLayer,http://metalayer.com/,"MetaLayer’s products turn sophisticated data-mining technologies (like natural language processing, sentiment analysis, network mapping) into a drag and drop experience.","Philadelphia, PA"
Mimoona,http://www.mimoona.com/,"Mimoona enables fashion brands and designers to predict the demand for their products before production, saving the brand money associated with redundant production and allowing them to produce and sell more of their successful designs, obtain engaged customers and leverage the power of the crowd to acquire more customers and brand awareness.","Tel Aviv, Israel"
MPOWER Financing,https://www.mpowerfinancing.com/,MPOWER Financing provides loans to high-potential international & domestic students at top tier U.S. universities who have limited access to credit. No FICO score or co- signer required.,"Washington, D.C."
Notehall,https://www.chegg.com/,"Notehall (acquired by Chegg in 2011) was an online marketplace that allowed college students to buy and sell appropriate class materials such as lecture notes, reading notes & study guides.","San Francisco, CA"
Octane,https://octanelending.com/,Octane facilitates fast and confident passion purchases by offering dealers and consumers a complete buying experience from online discovery to full-spectrum automated lending at the point of sale.,"New York, NY"
Parse.ly,https://www.parse.ly/,Parsel.y partners with digital publishers to provide clear audience insights through an intuitive analytics platform.,"New York, NY"
PenPal Schools,https://www.penpalschools.com/,PenPal Schools is a network of students across schools and countries where PenPals ages 9+ collaborate through high-quality online courses to discover cultures and learn about global challenges while practicing essential language and technology skills.,"Austin, TX"
PeopleGrove,https://www.peoplegrove.com/,PeopleGrove is a SaaS platform for schools and companies to develop private professional communities to support their young people and position them to succeed.,"San Francisco, CA"
PeerActive,http://peeractive.com/,"PeerActive has developed next generation online shopping experiences that drive adoption, engagement and sell-through.","New York, NY"
PikMyKid,https://www.pikmykid.com/,"PikMyKid is a comprehensive school dismissal and parent communication system that simplifies and speeds up dismissal, enhances student safety, and eases traffic in school neighborhoods.","Tampa, FL"
Presentr,http://www.presentr.me/,"Presentr helps students and professionals improve their communication skills via a training tool that uses video and audio sensors to provide real-time, automated feedback on body language and verbal delivery so that they can become more effect presenters.","New York, NY"
Prompt,https://prompt.com/,Prompt makes individuals better writers through personalized feedback via grading and analytics tools and a 24/7 Virtual Writing Center.,"New York, NY"
ROAR,https://roarforgood.com/,"ROAR has developed technology enabled safety jewelry and a mobile application for women that provides a means to protect themselves in the case of an assault. When activated, the Roar safety wearable immediately emits a 85 decibel alarm and messages friends and family a location so that they can call for help.","Philadelphia, PA"
SeatGeek,https://seatgeek.com/,SeatGeek is the Web's largest event ticket search engine.,"New York, NY"
Servy,https://resy.com/,Servy (acquired by Resy in 2017) empowered a community of foodies and hospitality professionals to improve the restaurant industry through private evaluations.,"New York, NY"
Slidebean,https://slidebean.com/,"Slidebean is a web-based presentation tool that enables users to create powerful presentations with just a few clicks. By separating the content creation from the slide design, Slidebean allows users to focus on what matters most while taking care of everything else automatically.","San Jose, Costa Rica"
SnipSnap,http://www.snipsnap.it/,"SnipSnap (acquired by Slyce in 2015) allows anyone to convert a printed coupon into a digital, mobile format, which they can easily search and retrieve on their smartphone.","Philadelphia, PA"
Stay Wanderful,https://staywanderful.com/,Stay Wanderful empowers boutique hotel owners to drive consumers to book directly from the boutique hotel’s website saving the hotel booking engine costs. Consumers who book directly are rewarded with free gifts and experiences by Stay Wanderful’s merchant partners.,
StudyTree,http://studytree.ai/,StudyTree’s mission is to improve student retention rates. StudyTree's vertical SaaS solutions bring A.I. driven social learning to a 43.27 billion higher education technology market.,"Philadelphia, PA"
SupplyHog,https://www.supplyhog.com/,"SupplyHog (acquired by American Supply Holdings in 2017) focuses on using tech as a tool to build time into the lives of customers by bringing the shopping, purchasing and shipping elements of a job into one cost effective, easy-to-use purchasing experience.","Chattanooga, TN"
Tassl,https://tassl.com/,"Tassl creates centralized software and mobile solutions to inform, connect, and engage alumni networks with the purpose of strengthening university communities and identifying alumni engagement trends.","Philadelphia, PA"
TrendKite,https://www.trendkite.com/,"Trendkite provides comprehensive PR software to agencies and corporate brands to measure, monitor and analyze the impact of their PR efforts across multiple channels with minimal effort. With Trendkite, it is possible to analyze every publication, blog and social media conversation and the journalists and influential social media users who create them almost in real-time.","Austin, TX"
University Beyond,https://www.universitybeyond.com/,University Beyond is a recruitment and management platform for collegiate brand influencers. UB works with top startups and Fortune 500 brands to provide students with job opportunities and companies with a pipeline of potential high quality full-time hires.,"New York, NY"
Vuzit,http://www.vuzit.com/,"Vuzit (acquired by Accusoft in 2015) was an AJAX and HTML5 document viewer for sharing, viewing, controlling images and other sensitive content on the web.","Philadelphia, PA"
WeDidIt,https://www.wedid.it/,WeDidIt helps nonprofits raise more money and reach new donors online. WeDidIt's donor research platform helps major gift officers identify hidden donors and social influencers for highly targeted fundraising campaigns.,"Brooklyn, NY"
Whose Your Landlord,https://www.whoseyourlandlord.com/,Whose Your Landlord allows renters to find their next home and review their landlords and housing complexes. The platform also enable landlords to provide and use renter references and target their listing to the desired market.,"New York, NY"
Wrainbo,http://www.wrainbo.com/,Wrainbo is a learning platform that combines mobile gaming and big data assessment. It makes learning fun by giving teachers and professors a game platform they can use to teach courses and practical job skills.,"Atlanta, GA"
