Company Name,Link,Year Founded,Description
Blacklane,https://www.blacklane.com/en/,2012,Blacklane offers global limousine and chauffeur services
FINANZCHECK.de,https://www.finanzcheck.de/,2012,"FINANZCHECK.de is a leading, independent online comparison portal for instalment loans and private financial products. By means of an uncomplicated online inquiry within seconds, credit offers and credit-related products from all important providers on the market can be compared with each other within minutes."
flaconi,https://www.flaconi.de/,2012,"Since July 2011, the premium online perfumery flaconi has been offering an extensive selection of perfumes and beauty products."
Recommerce,https://www.verkaufen.ch/,2012,"Since 2012, Recommerce (verkaufen.ch) has offered its all-round package of services - buy, sell, repair - for mobile devices. And they do so with great passion, because they place great emphasis on Swiss quality and the well-being of their customers. As a certified partner of Apple and Samsung, Recommerce always works according to manufacturer specifications and uses professional software and their experienced technicians to do so."
SumUp,https://www.sumup.com/en-us/,2012,"SumUp is a leading global financial technology company, providing merchants and small businesses with a free business account and card, an online store, and an invoicing solution – as well as in-person and remote payments seamlessly integrated with SumUp’s card terminals and point-of-sale registers."
Hitmeister,https://www.kaufland.de/,2011,Hitmeister is one of Germany's leading and fast-growing multi category marketplaces. It was incorparated in 2016 by Supermarket chain Real.
Angela Bruderer,https://www.angela-bruderer.ch/,2010,"Angela Bruderer is a leading mail order company for bed linen, household products and functional leisure wear. The Swiss mail order company Angela Bruderer AG started in 1980 with the dispatch of knitwear and handicrafts and has since developed into the leading Swiss mail order company for high-quality bed linen and home textiles, functional clothing and household articles."
Immatics Biotechnologies,https://immatics.com/,2010,Immatics combines the discovery of true targets for cancer immunotherapies with the development of the right T cell receptors with the goal of enabling a robust and specific T cell response against these targets.
Nanda Technologies,https://nadatech.com/,2010,Nanda Technologies is responsible for the development and sales of optical inspection equipment for process control in semiconductor manufacturing.
Auxilium,https://www.auxiliumgruppe.de/,2010,"Auxilium serves the whole of Germany with first-class service and innovative products as the largest German full-range supplier in the healthcare sector. Auxilium's vision is to be the largest full-service provider on the German market, offering their customers a first-class service nationwide, while at the same time always thinking one step ahead through technical and sales innovations in the ever-changing healthcare market."
DeepL,https://www.deepl.com/en/translator,2009,"DeepL is a Cologne-based, German AI company that strives to overcome language barriers through artificial intelligence. The exceptional quality of DeepL's machine translation services is based on proprietary improvements in neural network mathematics and methodology."
Quanta,https://www.quantadt.com/,2009,Quanta is developing and marketing easy-to-use and portable haemodialysis systems with full clinical performance for use in the home and clinic.
Zynga,https://www.zynga.com/,2009,Zynga is a leading developer of the world's most popular social games that are played by millions of people around the world each day.
Facebook,http://facebook.com,2008,Facebook is an American online social media and social networking service and a flagship service of the company which has since changed its name to Meta.
ixigo,https://rocket.ixigo.com/gdpr/index.html,2008,"ixigo.com is India’s leading online travel portal that simplifies all your trips. From flights, trains to hotels and buses, ixigo is where you can book everything! Intelligent, AI-based travel platform that helps in organising, booking and tracking all your trips. We aggregate information from all over the web to bring you the best offers and deals."
VOSS,https://vosswater.com/,2008,"The VOSS source sits in Iveland, a sparsely populated area on the southern tip of Norway. Confined in an aquifer deep beneath the earth, VOSS water lies under layers of rock and sand, which create a natural filter, protecting it from the air and other pollutants. The exceptional purity of VOSS, and its uniquely fresh, clean taste, are due in part to the unusually low levels of Total Dissolved Solids (TDS) naturally occurring in the VOSS source."
sharewise,https://www.sharewise.com/,2007,"At sharewise you can see what the crowd thinks about a stock and can make your own assessment with just a few clicks. In addition, sharewise offers the latest news and analyses from our partners. In the forum, shares and current trends on the markets are discussed."
alaTest,https://www.alatest.de/,2006,"alaTest is a global leader in collecting, analyzing and distributing expert and user product reviews"
Qype,#,2005,"Qype was an online community whose primary content was user-generated, location-based reviews on a local basis. Qype was closed on October 30, 2013 and much of its content was transferred to the Yelp service, which took over the portal."
Xing,https://www.xing.com/,2004,"XING is a leading social business network making networking and professional contact management simple, with made-to-measure networking functions and services."
